channel,campaign,impressions,clicks,conversions,cost,revenue,ctr,cvr,roas,cpa
Email,Campaign_0,8719,965,44,1172.362639036558,3296.420270043575,0.11067783002637917,0.04559585492227979,2.811775264991861,26.644605432649044
Display,Campaign_1,1284,933,52,2492.8893264343124,4036.7629290179793,0.7266355140186916,0.055734190782422297,1.6193109281718239,47.94017935450601
Social,Campaign_2,1000,301,102,2490.95990074488,2117.785092666005,0.301,0.3388704318936877,0.850188351901095,24.421175497498826
Email,Campaign_3,5803,187,47,4598.202858470896,5178.706900558895,0.03222471135619507,0.25133689839572193,1.1262458529898443,97.83410337172118
Display,Campaign_4,6851,424,92,4734.906315236224,7891.582613257381,0.06188877536126113,0.2169811320754717,1.6666818914375228,51.46637299169809
Display,Campaign_0,3963,380,65,585.8446845208825,4664.634553124564,0.09588695432752965,0.17105263157894737,7.962237562912107,9.012995146475117
Display,Campaign_1,3098,106,116,1666.1062617940543,7253.911364623484,0.0342156229825694,1.0943396226415094,4.353810756831627,14.362985015465984
Display,Campaign_2,5966,965,45,538.0076263225371,2746.2954755014516,0.16174991619175327,0.046632124352331605,5.1045660714389935,11.955725029389715
Social,Campaign_3,3068,470,109,4466.356813767813,8443.270246833506,0.15319426336375488,0.23191489361702128,1.8904155218424599,40.97575058502581
Display,Campaign_4,7827,867,75,2894.495890867849,2534.3845632739976,0.11077041011881947,0.08650519031141868,0.8755875492067532,38.593278544904656
Social,Campaign_0,6604,672,103,1225.1055224058832,7311.238270049789,0.10175651120533011,0.15327380952380953,5.967843696999957,11.894228372872652
Search,Campaign_1,7509,316,158,4237.12895896133,3534.303507068518,0.042082833932614194,0.5,0.8341269622189882,26.817271892160313
Email,Campaign_2,8874,161,109,822.8359681451137,8353.780947199377,0.018142889339643902,0.6770186335403726,10.152425599516476,7.548953836193704
Display,Campaign_3,9417,287,56,4341.311709909715,9681.767907084211,0.030476797281512157,0.1951219512195122,2.230148064462655,77.52342339124492
Search,Campaign_4,8820,603,108,572.7146726883295,7993.234161712376,0.06836734693877551,0.1791044776119403,13.956747649212545,5.302913636003051
Email,Campaign_0,2807,733,101,2547.0065905959727,1485.6633387315364,0.261132882080513,0.1377899045020464,0.5832977991564234,25.21788703560369
Email,Campaign_1,4190,558,72,2092.850706047697,1354.4920762910863,0.13317422434367543,0.12903225806451613,0.6471995696477629,29.06737091732912
Email,Campaign_2,2932,897,72,3420.4939846828115,1189.1391351321697,0.3059345156889495,0.0802675585284281,0.3476512867606872,47.50686089837238
Search,Campaign_3,4973,339,88,2975.972078640888,9416.650901303725,0.06816810778202292,0.25958702064896755,3.1642268987968003,33.81786453001009
Social,Campaign_4,1266,128,116,2092.1280385089326,2610.238845417407,0.10110584518167456,0.90625,1.2476477526096987,18.03558653887011
Search,Campaign_0,6382,252,168,4937.2639244317525,8689.083391359127,0.039486054528361014,0.6666666666666666,1.7598985033718215,29.388475740665193
Display,Campaign_1,9806,487,101,2432.0470798078813,7600.730992245735,0.049663471344075054,0.20739219712525667,3.125240072591914,24.079674057503777
Display,Campaign_2,3418,566,61,2681.131820587506,7083.778471075807,0.16559391456992392,0.10777385159010601,2.642085113712748,43.95298066536895
Search,Campaign_3,7834,761,14,3329.647065798318,1423.079101792034,0.09714066887924432,0.018396846254927726,0.427396379757395,237.83193327130843
Email,Campaign_4,8500,362,144,946.2229337012076,6128.547875012217,0.04258823529411765,0.39779005524861877,6.476854086636894,6.570992595147275
